uc,task_family,tau_frozen,d_mean,d_p50,d_p90,coverage_d_le_tau,routing_decision
UC1,classification,0.6666666666666666,3.8392651404370652,3.841177461028802,4.177262538151977,0.0,LLM
UC2,information_extraction,1.0,0.0,0.0,0.0,1.0,SLM
UC3,classification,0.6666666666666666,3.783869603575987,3.7904560921663952,4.087462841250339,0.0,LLM
UC4,classification,0.6666666666666666,4.190559985158096,4.195281553921719,4.485633487536035,0.0,LLM
UC5,code_generation,0.6666666666666666,1.1564999999999999,1.05,2.1,0.27,HYBRID
UC6,classification,0.6666666666666666,5.525309530124092,5.509787973555842,5.675363758309074,0.0,LLM
UC7,summarization,0.29716666666666663,52.29,52.5,61.10000000000001,0.0,LLM
UC8,text_generation,0.9333333333333332,0.0,0.0,0.0,1.0,SLM
