difficulty_bin,n,metric_slm,metric_llm,ratio,delta,bin_center,latency_sec_slm,latency_sec_llm,valid_output_slm,valid_output_llm,ratio_smooth
0,2,0.0,1.0,0.0,-1.0,2.375,0.7601336240768433,29.565625309944153,0.5,1.0,0.0
1,1,0.0,1.0,0.0,-1.0,3.773557262275186,0.7699408531188965,0.7268023490905762,1.0,1.0,0.0
2,1,1.0,1.0,1.0,0.0,4.403856189774725,0.7067070007324219,0.7861747741699219,1.0,1.0,1.0
3,1,0.0,0.0,0.0,0.0,4.501629167387822,0.7593514919281006,0.5704643726348877,1.0,1.0,0.0
4,1,0.0,1.0,0.0,-1.0,4.85216872360328,0.614351749420166,1.0306751728057861,1.0,1.0,0.0
