use_case,task_family,s3_score,s3_tier,runtime_tier,routing_decision,tier_gap,gap_analysis,Cm,Rm,tau_consensus,slm_coverage,slm_acc_obs,slm_f1_obs,slm_failure_obs,slm_p95_obs,llm_acc_obs,llm_f1_obs,llm_failure_obs,llm_p95_obs,runtime_acc_est,runtime_f1_est,runtime_failure_est,runtime_p95_est,cost_low_usd_mo,cost_high_usd_mo,decision_correct
UC1,classification,3.4,Hybrid,LLM Only,LLM,1,Underestimation (dangerous),0.31446540880503143,0.34276729559748426,0.6666666666666666,0.0,0.8333333333333334,0.7777777777777777,0.16666666666666663,322.79999999999984,0.8333333333333334,0.8285714285714285,0.16666666666666663,2426.3,0.8333333333333334,0.8285714285714285,0.16666666666666663,2426.3,50000.0,100000.0,0
UC2,information_extraction,2.6,Pure SLM,Pure SLM,SLM,0,Match,0.7037037037037037,0.14814814814814814,1.0,1.0,1.0,1.0,0.0,3600.05,1.0,1.0,0.0,2571.35,1.0,1.0,0.0,3600.05,127.0,500.0,1
UC3,classification,2.67,Pure SLM,LLM Only,LLM,2,Underestimation (dangerous),0.31446540880503143,0.34276729559748426,0.6666666666666666,0.0,0.8333333333333334,0.8333333333333333,0.16666666666666663,513.3499999999998,0.8333333333333334,0.7,0.16666666666666663,2426.9,0.8333333333333334,0.7,0.16666666666666663,2426.9,50000.0,100000.0,0
UC4,classification,2.07,Pure SLM,LLM Only,LLM,2,Underestimation (dangerous),0.31446540880503143,0.34276729559748426,0.6666666666666666,0.0,1.0,1.0,0.0,504.15,1.0,1.0,0.0,363.15,1.0,1.0,0.0,363.15,50000.0,100000.0,0
UC5,code_generation,3.27,Hybrid,Hybrid,HYBRID,0,Match,0.304366908053544,0.34781654597322803,0.6666666666666666,0.27,0.8333333333333334,0.8333333333333333,0.16666666666666663,3535.799999999999,0.8333333333333334,0.6666666666666666,0.16666666666666663,2443.05,0.8333333333333335,0.7116666666666667,0.16666666666666652,2738.0924999999997,36534.29,73135.0,1
UC6,classification,4.27,LLM Only,LLM Only,LLM,0,Match,0.31446540880503143,0.34276729559748426,0.6666666666666666,0.0,0.6666666666666666,0.4888888888888889,0.33333333333333337,2881.35,0.5,0.4333333333333333,0.5,2593.9,0.5,0.4333333333333333,0.5,2593.9,50000.0,100000.0,1
UC7,summarization,3.2,Hybrid,LLM Only,LLM,1,Underestimation (dangerous),0.8349593495934959,0.08252032520325203,0.29716666666666663,0.0,0.5,0.5222222222222221,0.5,774.1499999999999,0.5,0.4126984126984127,0.5,2639.35,0.5,0.4126984126984127,0.5,2639.35,50000.0,100000.0,1
UC8,text_generation,3.07,LLM Only,Pure SLM,SLM,-2,Overestimation (inefficient),0.8478632478632478,0.07606837606837606,0.9333333333333332,1.0,,,,10265.45,,,,1425.4,,,,10265.45,127.0,500.0,0
